date,time,latitude,longitude,orbit_start,orbit_end
2023/04/01,012816,4.8999815,137.88545,954466106.4,954471679.4
2023/04/01,012816,4.9965777,137.90236,954466106.4,954471679.4
2023/04/01,012816,4.996413,137.90112,954466106.4,954471679.4
2023/04/01,012816,4.9977455,137.90723,954466106.4,954471679.4
2023/04/01,012816,5.839443,138.36586,954466106.4,954471679.4
2023/04/01,012816,26.752033,151.30055,954466106.4,954471679.4
2023/04/01,012816,26.748571,151.38591,954466106.4,954471679.4
2023/04/01,012816,39.039104,-88.07466,954466106.4,954471679.4
2023/04/01,012816,37.925987,-89.72495,954466106.4,954471679.4
2023/04/01,012816,37.86694,-89.686295,954466106.4,954471679.4
2023/04/01,012816,37.787582,-89.73823,954466106.4,954471679.4
2023/04/01,012816,37.953537,-89.68368,954466106.4,954471679.4
2023/04/01,012816,37.84109,-89.707726,954466106.4,954471679.4
2023/04/01,012816,37.85545,-89.68225,954466106.4,954471679.4
2023/04/01,012816,37.90273,-89.702324,954466106.4,954471679.4
2023/04/01,012816,37.77605,-89.694786,954466106.4,954471679.4
2023/04/01,012816,37.897022,-89.67684,954466106.4,954471679.4
2023/04/01,012816,37.84257,-89.64091,954466106.4,954471679.4
2023/04/01,012816,37.89839,-89.660484,954466106.4,954471679.4
2023/04/01,012816,37.757694,-89.62956,954466106.4,954471679.4
2023/04/01,012816,37.868305,-89.64287,954466106.4,954471679.4
2023/04/01,012816,37.857716,-89.63456,954466106.4,954471679.4
2023/04/01,012816,38.06406,-89.54798,954466106.4,954471679.4
2023/04/01,012816,38.063774,-89.516945,954466106.4,954471679.4
2023/04/01,012816,38.011974,-89.51719,954466106.4,954471679.4
2023/04/01,012816,38.03099,-89.48899,954466106.4,954471679.4
2023/04/01,012816,37.982307,-89.51514,954466106.4,954471679.4
2023/04/01,012816,38.04631,-89.46685,954466106.4,954471679.4
2023/04/01,012816,38.029415,-89.50835,954466106.4,954471679.4
2023/04/01,012816,38.022285,-89.43722,954466106.4,954471679.4
2023/04/01,012816,37.98586,-89.47491,954466106.4,954471679.4
2023/04/01,012816,38.018692,-89.453964,954466106.4,954471679.4
2023/04/01,012816,38.088223,-89.45927,954466106.4,954471679.4
2023/04/01,012816,37.99524,-89.43259,954466106.4,954471679.4
2023/04/01,012816,38.010845,-89.39684,954466106.4,954471679.4
2023/04/01,012816,37.99748,-89.49581,954466106.4,954471679.4
2023/04/01,012816,37.97707,-89.42898,954466106.4,954471679.4
2023/04/01,012816,38.515244,-89.249344,954466106.4,954471679.4
2023/04/01,012816,38.53398,-89.28761,954466106.4,954471679.4
2023/04/01,012816,38.469296,-89.385056,954466106.4,954471679.4
2023/04/01,012816,38.413742,-89.31064,954466106.4,954471679.4
2023/04/01,012816,38.396816,-89.37826,954466106.4,954471679.4
2023/04/01,012816,38.36612,-89.31113,954466106.4,954471679.4
2023/04/01,012816,38.418964,-89.20407,954466106.4,954471679.4
2023/04/01,012816,35.713104,-89.451035,954466106.4,954471679.4
2023/04/01,012816,35.78668,-89.50951,954466106.4,954471679.4
2023/04/01,012816,35.737423,-89.466324,954466106.4,954471679.4
2023/04/01,012816,35.683147,-89.49093,954466106.4,954471679.4
2023/04/01,012816,35.730328,-89.39686,954466106.4,954471679.4
2023/04/01,012816,35.707317,-89.47806,954466106.4,954471679.4
2023/04/01,012816,35.704044,-89.35954,954466106.4,954471679.4
2023/04/01,012816,35.704742,-89.46944,954466106.4,954471679.4
2023/04/01,012816,35.731564,-89.3637,954466106.4,954471679.4
2023/04/01,012816,35.739456,-89.49263,954466106.4,954471679.4
2023/04/01,012816,35.700768,-89.42799,954466106.4,954471679.4
2023/04/01,012816,35.70716,-89.35934,954466106.4,954471679.4
2023/04/01,012816,35.680584,-89.40831,954466106.4,954471679.4
2023/04/01,012816,35.667824,-89.46014,954466106.4,954471679.4
2023/04/01,012816,35.737503,-89.39597,954466106.4,954471679.4
2023/04/01,012816,35.705658,-89.46143,954466106.4,954471679.4
2023/04/01,012816,35.71983,-89.49465,954466106.4,954471679.4
2023/04/01,012816,35.649754,-89.46558,954466106.4,954471679.4
2023/04/01,012816,35.707066,-89.35995,954466106.4,954471679.4
2023/04/01,012816,35.70645,-89.48391,954466106.4,954471679.4
2023/04/01,012816,35.731472,-89.388504,954466106.4,954471679.4
2023/04/01,012816,35.646194,-89.42505,954466106.4,954471679.4
2023/04/01,012816,35.72516,-89.40116,954466106.4,954471679.4
2023/04/01,012816,35.722965,-89.47255,954466106.4,954471679.4
2023/04/01,012816,35.625065,-89.3994,954466106.4,954471679.4
2023/04/01,012816,35.703648,-89.40744,954466106.4,954471679.4
2023/04/01,012816,35.612488,-89.382095,954466106.4,954471679.4
2023/04/01,012816,35.625996,-89.37384,954466106.4,954471679.4
2023/04/01,012816,37.73041,-87.85626,954466106.4,954471679.4
2023/04/01,012816,37.72959,-87.87435,954466106.4,954471679.4
2023/04/01,012816,37.816704,-87.725464,954466106.4,954471679.4
2023/04/01,012816,37.836918,-87.81402,954466106.4,954471679.4
2023/04/01,012816,37.68468,-87.78476,954466106.4,954471679.4
2023/04/01,012816,37.769253,-87.72077,954466106.4,954471679.4
